,0
0,Arizona
1,Colorado
2,Connecticut
3,Delaware
4,Georgia
5,Hawaii
6,Indiana
7,Iowa
8,Louisiana
9,Maine
10,Massachusetts
11,Minnesota
12,Mississippi
13,Missouri
14,Nebraska
15,New Jersey
16,New Mexico
17,New York
18,North Carolina
19,Oklahoma
20,Pennsylvania
21,Rhode Island
22,South Carolina
23,Tennessee
24,Utah
25,Virginia
26,West Virginia
27,Wisconsin
28,Wyoming
